region	pos	start	end
129	1	34601078	34606078
129	2	34606078	34611078
129	3	34611078	34616078
129	4	34616078	34621078
129	5	34621078	34626078
129	6	34626078	34631078
129	7	34631078	34636078
129	8	34636078	34641078
129	9	34641078	34646078
129	10	34646078	34651078
129	11	34651078	34656078
129	12	34656078	34661078
129	13	34661078	34666078
129	14	34666078	34671078
129	15	34671078	34676078
129	16	34676078	34681078
129	17	34681078	34686078
129	18	34686078	34691078
129	19	34691078	34696078
129	20	34696078	34701078
129	21	34701078	34706078
129	22	34706078	34711078
129	23	34711078	34716078
129	24	34716078	34721078
129	25	34721078	34726078
129	26	34726078	34731078
129	27	34731078	34736078
129	28	34736078	34741078
129	29	34741078	34746078
129	30	34746078	34751078
129	31	34751078	34756078
129	32	34756078	34761078
129	33	34761078	34766078
129	34	34766078	34771078
129	35	34771078	34776078
129	36	34776078	34781078
129	37	34781078	34786078
129	38	34786078	34791078
129	39	34791078	34796078
129	40	34796078	34801078
129	41	34801078	34806078
CAST	1	34601078	34606078
CAST	2	34606078	34611078
CAST	3	34611078	34616078
CAST	4	34616078	34621078
CAST	5	34621078	34626078
CAST	6	34626078	34631078
CAST	7	34631078	34636078
CAST	8	34636078	34641078
CAST	9	34641078	34646078
CAST	10	34646078	34651078
CAST	11	34651078	34656078
CAST	12	34656078	34661078
CAST	13	34661078	34666078
CAST	14	34666078	34671078
CAST	15	34671078	34676078
CAST	16	34676078	34681078
CAST	17	34681078	34686078
CAST	18	34686078	34691078
CAST	19	34691078	34696078
CAST	20	34696078	34701078
CAST	21	34701078	34706078
CAST	22	34706078	34711078
CAST	23	34711078	34716078
CAST	24	34716078	34721078
CAST	25	34721078	34726078
CAST	26	34726078	34731078
CAST	27	34731078	34736078
CAST	28	34736078	34741078
CAST	29	34741078	34746078
CAST	30	34746078	34751078
CAST	31	34751078	34756078
CAST	32	34756078	34761078
CAST	33	34761078	34766078
CAST	34	34766078	34771078
CAST	35	34771078	34776078
CAST	36	34776078	34781078
CAST	37	34781078	34786078
CAST	38	34786078	34791078
CAST	39	34791078	34796078
CAST	40	34796078	34801078
CAST	41	34801078	34806078
