allele	cell_id	pos	x	y	z
CAST	3	1	78197.2236311005	21934.8064271945	5890.87310789453
CAST	3	2	78231.7518417707	21946.1373061788	5949.48497715238
CAST	3	3	78226.6387610206	22048.385171477	5669.62824015249
CAST	3	5	77449.7781602874	22609.4290960265	5550.9905080456
CAST	3	10	78024.6491003607	21876.5920191172	5773.22062263725
CAST	3	12	77950.1081165306	22061.3897417008	5978.1803397833
CAST	3	13	77944.3422962027	22054.5795735195	6000.61805995249
CAST	3	14	77854.754158105	21861.2399160998	5934.34402868372
CAST	3	15	77846.1866482448	21800.943136231	5752.69977783036
CAST	3	16	77936.1795322936	21992.6485410404	5784.63227586384
CAST	3	18	77751.1375495497	21771.6416720828	5858.00211304205
CAST	3	19	78117.9713218445	21849.2491981569	5549.42264906464
CAST	3	25	78014.0206762962	21911.2071787964	5816.29765883198
CAST	3	26	78038.3510980061	21910.7988628816	5795.34754466381
CAST	3	31	78244.7833854147	21984.761235133	5725.03386482021
CAST	3	33	77369.4935406282	22182.297205674	5414.8952242955
CAST	3	34	77379.9851508336	22223.5331883908	5476.46249998707
CAST	3	35	78210.5671072498	21785.4395324093	5853.33136410081
CAST	3	36	78025.4835174626	22042.6450853797	5579.79247248764
CAST	3	37	78200.0584567578	21983.5793229964	5627.02312951675
CAST	4	0	70206.7507612134	33505.4218604976	7425.59735645612
CAST	4	1	70127.7419864163	33451.3942599792	7608.59156535078
CAST	4	2	70199.7470519277	33490.159569895	8022.10498443733
CAST	4	3	70184.154321691	33429.6921507553	8122.9583240688
CAST	4	4	70217.6352106091	33576.4041316961	8128.12493470207
CAST	4	5	69946.5199668778	33630.8748484975	7643.47333934009
CAST	4	6	69895.543546734	33252.4517993894	7769.56566910643
CAST	4	7	69904.8927123172	33302.3101951224	7790.48002945153
CAST	4	11	69937.1698939681	33219.5020450715	8042.04600132656
CAST	4	12	70020.0384377748	33388.5628728615	8061.5317434597
CAST	4	13	70111.0206925298	33398.9385536346	7996.59354314738
CAST	4	16	69855.3727597486	33193.7515133908	7579.89719555329
CAST	4	18	69774.074495087	33443.627278023	7828.23815637026
CAST	4	21	69979.3806110713	33156.3219431006	7575.872887511
CAST	4	22	69876.5180974534	33065.8016897239	8132.84682732284
CAST	4	24	70090.0143855555	33009.9253786214	8016.69432727603
CAST	4	25	70014.8749960477	33154.7382893201	7938.86795107774
CAST	4	27	69885.4914610778	33172.5934838432	7521.56308255973
CAST	4	32	69911.4063296632	33231.1638224895	7583.94355033218
CAST	4	35	69860.4112015131	33515.0957983054	7772.97065972122
CAST	4	36	69920.7769969391	33541.9150830197	7633.88995004796
CAST	4	37	70029.2377011828	33513.7916346342	7696.7033289305
CAST	4	38	70002.6832389532	33452.5091923351	8049.22828706838
CAST	4	39	70042.1243794371	33461.4938251809	7990.32796661302
CAST	4	40	70047.9643878045	33432.381738073	7984.96744830783
CAST	5	0	93320.4225510626	25938.7599694122	2326.75603256305
CAST	5	1	93456.302598437	25764.711913397	2393.11274725392
CAST	5	2	93180.5612670469	25965.2854565149	2357.45857211663
CAST	5	7	92929.9499508357	26025.1678206799	2306.0815987947
CAST	5	8	93210.8103239791	25851.1340259134	2238.58011297193
CAST	5	10	93290.3186751655	25818.2085767771	2086.95628064934
CAST	5	11	93119.5089353347	25725.2500007324	2300.16335559422
CAST	5	12	93135.0106506447	25725.1351125696	2270.2843339906
CAST	5	13	93094.5252955508	25649.109142749	2223.1914283116
CAST	5	14	93172.4501339709	25382.8959240487	2087.81407343088
CAST	5	15	93193.6755156959	25499.3219176253	2065.15055901695
CAST	5	16	93472.0286561586	25594.2241820319	2320.96588592687
CAST	5	17	93528.4365505981	25696.2730986392	2298.35671873835
CAST	5	18	93472.1612284591	25943.5305053951	2316.11910033869
CAST	5	19	93408.7916977496	25607.1801199795	2287.55940191678
CAST	5	21	93236.1710052475	25495.0185681319	1983.87137069411
CAST	5	22	93422.5103301983	25580.9094304348	1958.33047983128
CAST	5	23	93429.9105524502	25708.8321858467	2171.77142689678
CAST	5	24	93180.8071634175	25773.2012994485	2240.90212502999
CAST	5	25	93336.6753450185	25771.836334657	2255.43347560294
CAST	5	26	93221.2372635033	25658.2484814507	2238.22482359671
CAST	5	27	93159.1101936427	25649.3196631678	2183.55296459239
CAST	5	28	93332.5537305999	25792.6504723272	2280.63732857181
CAST	5	29	93334.9525117901	25793.973637552	2039.32187502653
CAST	5	30	93315.7678134639	25783.6012653979	2051.80040215281
CAST	5	31	93345.0238324386	25802.1346733491	2205.8893362335
CAST	5	32	93375.7159977866	25842.0699342143	2274.28869420629
CAST	5	33	93228.2084335153	25900.9257441616	2240.38807851399
CAST	5	34	93240.3195073156	25935.0510621018	2282.09620486069
CAST	5	35	93238.8941141552	25895.1686604094	2310.19079721122
CAST	5	36	93242.060031568	25864.0525320027	2292.8931595561
CAST	5	37	93262.7984851326	25713.1434113041	2428.05390607863
CAST	5	38	93357.5598705029	25770.7725111667	2437.95307673545
CAST	5	39	93235.7605420489	25821.4989244212	2303.39208032977
CAST	5	40	93182.1680793698	25893.2543198393	2314.77668526155
CAST	22	5	175198.322222145	62016.8137830104	5278.97852180672
CAST	22	6	175138.179261256	61883.3707845533	5253.99363145154
CAST	22	7	175212.413828428	61918.3907596149	5199.58659199474
CAST	22	8	175327.546737971	61988.0166801643	5119.91796918312
CAST	22	9	175335.6273903	62024.095179113	5152.81186895684
CAST	22	10	175159.789473844	62178.0888065486	5372.30164984854
CAST	22	11	175281.576090562	62083.1991053687	5350.40318756709
CAST	22	12	175245.81697672	62090.0197385849	5307.27289825759
CAST	22	13	175516.555541469	62122.3497531468	5937.78541291034
CAST	22	14	175379.938918581	61986.6397999065	5427.4222356731
CAST	22	15	175205.694349043	61956.1038880722	5274.78819651664
CAST	22	16	175242.109739078	61949.3687802648	5169.25536773826
CAST	22	17	175270.704170585	61905.8806980158	5253.04752465071
CAST	22	18	175324.754556981	61881.7386663492	5230.55431571463
CAST	22	19	175518.28955389	61795.3392456075	5608.31538164027
CAST	22	20	175408.233792532	61894.7837716393	5556.50737343863
CAST	22	21	175415.449070966	61922.3200469749	5332.7279518835
CAST	22	22	175426.793351806	61959.9328217398	5374.96548480433
CAST	22	23	175407.167171059	61923.8778085054	5359.33418545874
CAST	22	24	175294.423181037	61915.6981550681	5288.22897712523
CAST	22	25	175312.084529381	61969.4227087934	5370.03401239794
CAST	22	26	175363.546590377	61915.6365548627	5246.38342399747
CAST	22	27	175275.164006628	61910.5577491329	5274.43813643097
CAST	22	28	175337.942242229	62058.359085001	5463.10623188997
CAST	22	29	175588.02359654	62078.3591350199	5332.18442435354
CAST	22	30	175609.224522161	62175.4430972742	5511.52463508348
CAST	22	32	175249.945769393	61926.533689189	5248.05254989121
CAST	22	33	175219.729284807	61835.8700791858	5215.80809386948
CAST	22	34	175301.010973546	61959.7115185517	5388.72503477451
CAST	22	35	175222.834022315	62000.1749481834	5318.82867966364
CAST	22	36	175244.072388672	61964.8337209352	5348.80438482409
CAST	22	37	175241.667175134	62201.8911590673	5455.49571899042
CAST	22	38	175249.744641102	62206.8239067082	5467.81343236388
CAST	22	39	175285.969182393	61940.0472560326	5279.14235354076
CAST	22	40	175117.76045084	62204.7419236358	5326.7329087669
CAST	23	0	147998.668597158	67097.4581942716	3591.92149972995
CAST	23	1	147932.172843684	67165.3995302762	3634.48875448899
CAST	23	2	147939.00802621	67413.4831081582	3406.12831455951
CAST	23	3	147961.713966541	67181.2432635338	3519.73392563535
CAST	23	4	147949.397817336	67180.4709457384	3641.40193905913
CAST	23	6	148011.480392218	67153.5845465015	3295.713034103
CAST	23	7	148045.692274719	67019.0281240942	3207.85501509644
CAST	23	8	148101.674162112	66984.3402164463	3632.31178711478
CAST	23	9	148186.658217402	66950.6152457316	3669.3018762872
CAST	23	11	148099.638331319	67080.0986426249	3516.55723172338
CAST	23	17	147912.319245877	67121.011761959	3256.31233125579
CAST	23	18	148164.583834247	67014.7706916693	3608.05204904607
CAST	23	25	148015.022754052	67062.4393286337	3482.3461851587
CAST	23	26	148048.522014921	67006.111242451	3501.15104922017
CAST	23	29	148176.004587036	66839.8404074774	3533.89279249493
CAST	23	33	148208.274938954	66938.4266898716	3679.74560642015
CAST	23	37	148107.484149542	67209.6993031696	3496.93754966509
CAST	23	38	147934.655585126	67034.0403821116	3133.29356428529
CAST	23	39	147974.667131282	67074.173660538	3394.10518953735
CAST	23	40	148031.626760155	67005.5702629249	3581.66413161813
CAST	26	0	165579.802812719	73207.3766499906	5934.61892373943
CAST	26	1	165891.51980332	73088.0820730159	5894.32393951119
CAST	26	2	165781.789743825	73050.9252961292	6055.61581764384
CAST	26	3	165815.277974557	73079.1809197645	6057.77891849936
CAST	26	4	165769.142470666	73090.8628399942	5925.88655262587
CAST	26	6	165803.699078389	73220.2036612065	6064.95132441272
CAST	26	7	165909.5515069	73213.503925332	5972.4138784664
CAST	26	9	165785.932338083	73191.4508577486	5994.82264852973
CAST	26	10	165901.73070938	73177.1714989641	5845.58671568479
CAST	26	11	165878.190476472	73255.0295142871	5861.85100937624
CAST	26	12	165852.531389557	73224.6506310715	5902.77528805518
CAST	26	13	165941.089427926	73272.8448931432	5828.61581751463
CAST	26	14	165832.219508	73274.9379788978	5872.28181556005
CAST	26	15	165762.182819141	73209.7722548791	5905.71888139158
CAST	26	17	165759.230663956	73550.6441197562	6059.76902409175
CAST	26	18	165719.924143121	73539.3309553671	6243.11988599954
CAST	26	21	165880.497602832	73239.2209145181	5934.32482353207
CAST	26	22	165961.389272784	73239.0195212613	5815.67780588407
CAST	26	23	166016.163206896	73171.8473612475	5750.78684242733
CAST	26	24	166084.239809169	73249.266938382	5616.88321109646
CAST	26	25	165900.602537672	73166.390406223	5852.76732874118
CAST	26	26	165915.87919365	73216.7461904412	5810.185167739
CAST	26	27	165835.500904589	73031.1979113585	5922.10115795874
CAST	26	28	165888.306530822	73049.2248795511	5754.71120043292
CAST	26	32	165821.385222281	73213.2489714734	5919.12595262087
CAST	26	34	165888.737165541	73073.1669792968	5796.25413682636
CAST	26	35	165805.315055499	73212.2421158684	5934.49040152259
CAST	26	36	165803.348708012	73142.9396668932	6079.74172730085
CAST	26	37	165862.066510478	73170.4998190636	5990.65004296759
CAST	26	38	165818.864851537	73196.5941751321	5922.39900488118
CAST	26	39	165800.416488296	72941.5429506763	5832.74494778538
CAST	26	40	165824.191152873	72926.6786523315	5804.09060027536
CAST	29	0	94738.7238877214	77971.304287904	5071.10786188716
CAST	29	1	94906.4160850003	77972.386218421	5123.92430832613
CAST	29	2	94926.2114735692	78027.7698414676	5180.85695960631
CAST	29	3	94751.92139858	77965.8572875812	5194.98060623208
CAST	29	5	94790.1300008002	77963.7300168766	5261.58850388823
CAST	29	9	94756.5884745541	77639.2759806575	5536.81019437841
CAST	29	10	94901.7432126764	77976.3359748564	5438.48618798305
CAST	29	11	94935.7235040534	77958.5317631944	5374.73997066445
CAST	29	12	94290.7390416967	78305.9897625384	5060.45258856822
CAST	29	13	94424.3625946535	78226.5818077775	5017.01923049255
CAST	29	14	94884.6281639245	78111.4072439477	5495.32311902407
CAST	29	15	94815.3367646407	78096.7670039786	5265.78338014902
CAST	29	16	94822.2232622441	78015.8812349656	5473.65537260057
CAST	29	17	94871.3477059715	78230.8870533531	5743.48935439817
CAST	29	18	94597.2690760884	78208.8295131468	5360.40132321399
CAST	29	19	94568.2406010433	78228.6324474404	5389.99242286844
CAST	29	20	94736.2749046956	78237.5751808008	5826.97978267385
CAST	29	21	94752.7984402395	78268.6501191933	5857.06450820603
CAST	29	22	94837.7101287132	78176.557804256	5436.20185477736
CAST	29	23	94805.7781496408	78224.9366951538	5796.44813293477
CAST	29	24	94740.9809928624	78207.6925572937	5695.73677528504
CAST	29	25	94692.9443137337	78274.6037680691	5665.83060465857
CAST	29	26	94692.0377987575	78231.6401421925	5541.0715736169
CAST	29	27	94664.1337667697	78249.056895801	5437.57519422605
CAST	29	28	94484.0458211436	78028.0414924376	5341.90854751373
CAST	29	29	94602.4214872603	78194.6315093832	5459.27379940442
CAST	29	30	94609.2617762731	78238.2515157478	5471.623156371
CAST	29	31	94627.9894537417	77941.7636972324	5333.80577063696
CAST	29	32	94676.6073046194	78148.0635653518	5495.10218243513
CAST	29	33	94621.3933786434	77859.4781821707	5695.49931780583
CAST	29	35	94612.7917340084	78035.2975559391	5378.96246246613
CAST	29	36	94813.7827906826	78012.1842351355	5415.01066103932
CAST	29	37	94814.4403053361	78223.1516915898	5777.65262590769
CAST	29	38	94281.8897427531	78163.0990661538	6061.35048094785
CAST	29	39	94537.2574243741	78197.6295303472	5419.23525374734
CAST	29	40	94818.8392064235	78144.0789054276	5730.88023205791
CAST	32	1	107693.482018028	83999.1443134451	1660.4558273944
CAST	32	2	107517.338957375	84083.3143241694	1770.71125767484
CAST	32	5	107560.344374475	84081.69430315	1451.17434464539
