hyb	chr_num	allele	cell_id	z	x	y	z.hat	x.hat	y.hat
1	4	CAST	3	5890.87310789453	78197.2236311005	21934.8064271945	31.2151353291641	718.894759000966	199.867671510782
2	4	CAST	3	5949.48497715238	78231.7518417707	21946.1373061788	31.5081946754534	719.211531575922	199.971624528987
3	4	CAST	3	5669.62824015249	78226.6387610206	22048.385171477	30.1089109904539	719.164622578214	200.909678339062
5	4	CAST	3	5550.9905080456	77449.7781602874	22609.4290960265	29.5157223299195	712.037461103598	206.056870307406
10	4	CAST	3	5773.22062263725	78024.6491003607	21876.5920191172	30.6268729028778	717.311506425371	199.333594372458
12	4	CAST	3	5978.1803397833	77950.1081165306	22061.3897417008	31.651671488608	716.627644188398	201.028986322767
13	4	CAST	3	6000.61805995249	77944.3422962027	22054.5795735195	31.763860089454	716.574746754197	200.966507715599
14	4	CAST	3	5934.34402868372	77854.754158105	21861.2399160998	31.4324899331101	715.752837230365	199.192749390647
15	4	CAST	3	5752.69977783036	77846.1866482448	21800.943136231	30.5242686788433	715.674236222473	198.639567923961
16	4	CAST	3	5784.63227586384	77936.1795322936	21992.6485410404	30.6839311690107	716.499859011911	200.398333105699
18	4	CAST	3	5858.00211304205	77751.1375495497	21771.6416720828	31.0507803549017	714.802226142701	198.370747151959
19	4	CAST	3	5549.42264906464	78117.9713218445	21849.2491981569	29.5078830350147	718.167673594947	199.082742804015
25	4	CAST	3	5816.29765883198	78014.0206762962	21911.2071787964	30.8422580838514	717.213997947716	199.651164644744
26	4	CAST	3	5795.34754466381	78038.3510980061	21910.7988628816	30.7375075130105	717.437212825788	199.647418627178
31	4	CAST	3	5725.03386482021	78244.7833854147	21984.761235133	30.3859391137925	719.331087022197	200.325972501043
33	4	CAST	3	5414.8952242955	77369.4935406282	22182.297205674	28.835245911169	711.300904959936	202.138229111511
34	4	CAST	3	5476.46249998707	77379.9851508336	22223.5331883908	29.1430822896269	711.397158264572	202.516540879555
35	4	CAST	3	5853.33136410081	78210.5671072498	21785.4395324093	31.0274266101956	719.017176213344	198.497333026515
36	4	CAST	3	5579.79247248764	78025.4835174626	22042.6450853797	29.6597321521297	717.319161628141	200.85701699872
37	4	CAST	3	5627.02312951675	78200.0584567578	21983.5793229964	29.8958854372752	718.920766575803	200.315129270433
0	6	CAST	4	7425.59735645612	70206.7507612134	33505.4218604976	38.8887565719721	645.587668451543	306.0201066787
1	6	CAST	4	7608.59156535078	70127.7419864163	33451.3942599792	39.8037276164454	644.862817306615	305.524440618899
2	6	CAST	4	8022.10498443733	70199.7470519277	33490.159569895	41.8712947118782	645.523414237912	305.880085663998
