pos	cell_id	x	y	z	label
0	3	78001.86177277841	22296.212909755242	5824.864852373163	0
1	3	78197.2236311005	21934.8064271945	5890.873107894531	0
2	3	78231.7518417707	21946.1373061788	5949.48497715238	0
3	3	78226.6387610206	22048.385171477	5669.628240152491	0
4	3	78000.71477855749	22259.66973223913	5710.711088824248	0
5	3	77449.7781602874	22609.4290960265	5550.990508045601	0
6	3	77813.14742588863	22296.848270091385	5753.350496137715	0
7	3	77858.5990324124	22241.035363769166	5726.271777749793	0
8	3	77792.38740671227	22199.2491615556	5784.529421285833	0
9	3	77832.44562616944	22130.076437859185	5826.194236463098	0
10	3	78024.6491003607	21876.5920191172	5773.220622637251	0
11	3	77766.84602331909	22057.8003863569	5863.568589673954	0
12	3	77950.1081165306	22061.3897417008	5978.180339783301	0
13	3	77944.3422962027	22054.5795735195	6000.6180599524905	0
14	3	77854.754158105	21861.2399160998	5934.344028683721	0
15	3	77846.18664824478	21800.943136231	5752.699777830361	0
16	3	77936.1795322936	21992.6485410404	5784.63227586384	0
17	3	77735.60877436142	21953.792358765146	5797.974657598672	0
18	3	77751.1375495497	21771.6416720828	5858.00211304205	0
19	3	78117.9713218445	21849.2491981569	5549.42264906464	0
20	3	77734.02103965323	21916.25347890808	5680.34776650357	0
21	3	77736.45205619845	21938.722710680846	5620.207104623671	0
22	3	77791.22310967276	21939.819133786215	5536.843430225197	0
23	3	77812.54326051922	21884.438281220686	5582.726228553636	0
24	3	77887.59217481737	21918.219812339474	5530.202242644624	0
25	3	78014.0206762962	21911.2071787964	5816.29765883198	0
26	3	78038.3510980061	21910.798862881595	5795.347544663811	0
27	3	77768.47361386422	22049.901156284155	5730.208059141183	0
28	3	77711.25688291769	22061.29563066905	5696.504847255761	0
29	3	77809.3996420056	22068.61711345906	5551.580258240663	0
30	3	77883.4467064343	22060.739739563116	5637.482590529069	0
31	3	78244.7833854147	21984.761235133	5725.0338648202105	0
32	3	77771.10795246933	22113.89132980869	5622.808564630053	0
33	3	77369.4935406282	22182.297205674	5414.8952242955	0
34	3	77379.9851508336	22223.5331883908	5476.46249998707	0
35	3	78210.5671072498	21785.4395324093	5853.33136410081	0
36	3	78025.48351746262	22042.6450853797	5579.792472487641	0
37	3	78200.0584567578	21983.5793229964	5627.0231295167505	0
38	3	77937.06834429299	22135.97780916094	5491.746515688737	0
39	3	77970.42428583308	22191.196603650995	5567.0130655741195	0
40	3	77939.93330983764	22245.906441839885	5528.402710004235	0
0	4	70206.7507612134	33505.4218604976	7425.597356456121	0
1	4	70127.7419864163	33451.3942599792	7608.59156535078	0
2	4	70199.7470519277	33490.159569895	8022.10498443733	0
3	4	70184.154321691	33429.6921507553	8122.958324068801	0
4	4	70217.6352106091	33576.4041316961	8128.124934702071	0
5	4	69946.5199668778	33630.8748484975	7643.473339340091	0
6	4	69895.543546734	33252.4517993894	7769.5656691064305	0
7	4	69904.8927123172	33302.3101951224	7790.48002945153	0
8	4	69909.41567780347	33484.6181768183	7851.540386748093	0
9	4	69843.81707503517	33377.007617466916	7891.629818028092	0
10	4	69861.72828650368	33303.96049591197	7931.948029406854	0
11	4	69937.1698939681	33219.5020450715	8042.04600132656	0
12	4	70020.0384377748	33388.5628728615	8061.5317434597	0
