pos	cell_id	x	y	z	label
0	3	84982.00045843748	29383.451077568807	7109.327989681358	0
1	3	85122.0008462571	29207.2280651614	7204.39286021129	0
2	3	85185.834008637	29264.6021600558	7186.981705946051	0
3	3	85167.2172514861	29167.745981733202	7210.82670186975	0
4	3	85134.75263816983	29299.14535126495	6979.386526539487	0
5	3	85128.6682789882	29190.2331960843	7301.860071868039	0
6	3	84830.6564544347	29104.2323466284	6975.1648250771395	0
7	3	84857.3537729494	29071.176004925	7001.881268677858	0
8	3	84810.4083628155	29106.062262398	7026.878684515941	0
9	3	85002.01845916454	29214.694723475528	6933.729784427616	0
10	3	84458.0341631257	29236.5763416529	6869.800004372319	0
11	3	84439.8879395571	29373.1303498188	6797.95168520408	0
12	3	85362.2608951291	28726.3838512743	6948.68299818185	0
13	3	84739.3512319206	29176.3336083196	7112.366952345161	0
14	3	84867.39554872285	28926.547297785626	6882.030118120225	0
15	3	84930.25306801937	28960.308010093933	6804.252557064043	0
16	3	84957.56009914575	28899.363809420836	6866.69727294601	0
17	3	85268.0500555903	28611.5519073144	6966.81155218335	0
18	3	84913.7969520296	29419.2746043164	6642.563027373519	0
19	3	84993.18722152019	29095.8623411371	6767.621804854862	0
20	3	84857.1729182959	29111.6307936378	7109.546154064759	0
21	3	84897.7751883547	29076.3115354699	7154.90968514383	0
22	3	84880.2491000377	28964.469903132474	7208.600503887041	0
23	3	85019.43421753879	28921.56562548267	6982.912380882532	0
24	3	85190.7152484209	29012.8434107033	7070.275878068809	0
25	3	85098.62094552256	28988.728833626832	6869.405313323887	0
26	3	85088.71976048117	29084.267065176726	6846.937213747389	0
27	3	85121.26599645178	29096.660581080254	6914.192870342475	0
28	3	85088.72797046466	29029.919223615834	6965.217918118711	0
29	3	84834.0527114007	29177.9880176631	6932.85479008503	0
30	3	85119.3555249342	28676.4409945687	7093.88329820836	0
31	3	85128.5883483018	29123.9282715782	7382.20656520547	0
32	3	85159.0961883855	29176.107211988405	7354.2857877395	0
33	3	84998.53581726272	28961.497880794454	7148.581509805419	0
34	3	84934.70146003783	28890.326096352233	7123.617352680971	0
35	3	85014.6108103597	28764.7534167744	7092.79967427156	0
36	3	84810.7948342645	28867.529511992103	7047.191115320824	0
37	3	84783.98872198089	28923.20977157216	7117.434743470178	0
38	3	84685.89152867341	29171.4671605065	7029.084325634671	0
