chr	start	end	pos
3	34601078	34606077	0
3	34606078	34611077	1
3	34611078	34616077	2
3	34616078	34621077	3
3	34621078	34626077	4
3	34626078	34631077	5
3	34631078	34636077	6
3	34636078	34641077	7
3	34641078	34646077	8
3	34646078	34651077	9
3	34651078	34656077	10
3	34656078	34661077	11
3	34661078	34666077	12
3	34666078	34671077	13
3	34671078	34676077	14
3	34676078	34681077	15
3	34681078	34686077	16
3	34686078	34691077	17
3	34691078	34696077	18
3	34696078	34701077	19
3	34701078	34706077	20
3	34706078	34711077	21
3	34711078	34716077	22
3	34716078	34721077	23
3	34721078	34726077	24
3	34726078	34731077	25
3	34731078	34736077	26
3	34736078	34741077	27
3	34741078	34746077	28
3	34746078	34751077	29
3	34751078	34756077	30
3	34756078	34761077	31
3	34761078	34766077	32
3	34766078	34771077	33
3	34771078	34776077	34
3	34776078	34781077	35
3	34781078	34786077	36
3	34786078	34791077	37
3	34791078	34796077	38
3	34796078	34801077	39
3	34801078	34806077	40
