chr	start	end	pos
12	61900000	61925000	1
12	61925000	61950000	2
12	61975000	62000000	3
12	62000000	62025000	4
12	62025000	62050000	5
12	62100000	62125000	6
12	62150000	62175000	7
12	62175000	62200000	8
12	62200000	62225000	9
12	62250000	62275000	10
12	62275000	62300000	11
12	62375000	62400000	12
12	62400000	62425000	13
12	62450000	62475000	14
12	62475000	62500000	15
12	62600000	62625000	16
12	62625000	62650000	17
12	62650000	62675000	18
12	62675000	62700000	19
12	62700000	62725000	20
12	62750000	62775000	21
12	62775000	62800000	22
12	62800000	62825000	23
12	62825000	62850000	24
12	62850000	62875000	25
12	62875000	62900000	26
12	62950000	62975000	27
12	63000000	63025000	28
12	63050000	63075000	29
12	63075000	63100000	30
12	63100000	63125000	31
12	63175000	63200000	32
12	63200000	63225000	33
12	63225000	63250000	34
12	63300000	63325000	35
12	63325000	63350000	36
12	63350000	63375000	37
12	63425000	63450000	38
12	63475000	63500000	39
12	63500000	63525000	40
12	63525000	63550000	41
12	63550000	63575000	42
12	63575000	63600000	43
12	63625000	63650000	44
12	63650000	63675000	45
12	63750000	63775000	46
12	63775000	63800000	47
12	63800000	63825000	48
12	63825000	63850000	49
12	63850000	63875000	50
12	63875000	63900000	51
12	63900000	63925000	52
12	63950000	63975000	53
12	63975000	64000000	54
12	64000000	64025000	55
12	64025000	64050000	56
12	64050000	64075000	57
12	64075000	64100000	58
12	64100000	64125000	59
12	64125000	64150000	60
